Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2008-08-28, UTEP, Buffalo, +3.5, -3.5, +56.5
2008-08-28, Vanderbilt, Miami (OH), +3.5, -3.5, +38.5
2008-08-28, North Carolina St, South Carolina, +14.5, -14.5, +43.5
2008-08-28, Wake Forest, Baylor, -11.5, +11.5, +50.0
2008-08-28, Oregon State, Stanford, -2.5, +2.5, +45.0
2008-08-28, Troy, Mid Tennessee, -6.0, +6.0, +49.5
2008-08-29, Temple, Army, -7.0, +7.0, +40.0
2008-08-29, SMU, Rice, +3.5, -3.5, +70.0
2008-08-30, Utah, Michigan, +3.0, -3.0, +42.5
2008-08-30, Syracuse, Northwestern, +12.5, -12.5, +54.5
2008-08-30, Memphis, Ole Miss, +9.0, -9.0, +52.5
2008-08-30, Ohio, Wyoming, +14.0, -14.0, +47.0
2008-08-30, Akron, Wisconsin, +26.5, -26.5, +51.5
2008-08-30, W Michigan, Nebraska, +14.0, -14.0, +55.0
2008-08-30, Washington, Oregon, +14.5, -14.5, +61.0
2008-08-30, Tulsa, UAB, -13.0, +13.0, +66.5
2008-08-30, TCU, New Mexico, -6.0, +6.0, +41.0
2008-08-30, Miss St, LA Tech, -7.0, +7.0, +44.5
2008-08-30, Boston College, Kent State, -10.5, +10.5, +47.5
2008-08-30, Oklahoma State, Washington St, -7.0, +7.0, +63.5
2008-08-30, N Illinois, Minnesota, +8.5, -8.5, +55.5
2008-08-30, Bowling Green, Pitt, +14.0, -14.0, +54.0
2008-08-30, Hawaii, Florida, +36.5, -36.5, +64.0
2008-08-30, VT, ECU, -9.0, +9.0, +44.5
2008-08-30, Illinois, Missouri, +10.0, -10.0, +59.5
2008-08-30, Michigan State, Cal, +6.5, -6.5, +54.0
2008-08-30, USC, UVA, -20.5, +20.5, +43.0
2008-08-30, Alabama, Clemson, +4.5, -4.5, +47.0
2008-08-30, Idaho, Arizona, +27.0, -27.0, +60.0
2008-08-30, Utah State, UNLV, +10.5, -10.5, +47.0
2008-08-30, W Kentucky, Indiana, +17.0, -17.0, +53.5
2008-08-30, LA-Lafayette, Southern Miss, +9.5, -9.5, +52.0
2008-08-30, FAU, Texas, +23.5, -23.5, +62.5
2008-08-30, FIU, Kansas, +36.0, -36.0, +56.5
2008-08-30, Arkansas State, Texas A&M, +19.0, -19.0, +50.0
2008-08-30, North Texas, Kansas State, +28.0, -28.0, +65.0
2008-08-30, UL Monroe, Auburn, +26.0, -26.0, +49.0
2008-08-31, Kentucky, Louisville, +3.0, -3.0, +55.0
2008-08-31, Colorado, Colorado State, -13.0, +13.0, +56.0
2008-09-01, Fresno State, Rutgers, +3.0, -3.0, +57.0
2008-09-01, Tennessee, UCLA, -7.0, +7.0, +46.0
2008-09-04, South Carolina, Vanderbilt, -9.5, +9.5, +43.0
2008-09-05, Navy, Ball State, +7.0, -7.0, +64.0
2008-09-06, E Michigan, Michigan State, +21.0, -21.0, +56.0
2008-09-06, Akron, Syracuse, +4.5, -4.5, +43.5
